SERVICE REQUEST #,DATE RECEIVED,LOT LOCATION,DANGEROUS OR HAZARDOUS?,Dangerous flag,OPEN OR BOARDED?,Open flag,ENTRY POINT,VACANT OR OCCUPIED?,Vacant flag,VACANT DUE TO FIRE?,Fire flag,ANY PEOPLE USING PROPERTY?,In use flag,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,Full Address,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,Location
11-03691665,08/30/2011,Rear,,2,Open,1,REAR DOOR,Vacant,1,,0,1,1,4817,W,HADDON,AVE,60651,4817 W HADDON AVE chicago IL 60651,1143961.03790176,1907216.22166991,41.901427608813016,-87.74666156900821,"41.901427608813016,-87.74666156900821"
11-03691669,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,4601,S,RICHMOND,ST,60632,4601 S RICHMOND ST chicago IL 60632,1157474.18459879,1874001.56857089,41.810018692786215,-87.69792894364328,"41.810018692786215,-87.69792894364328"
11-03691948,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,2433,S,AVERS,AVE,60623,2433 S AVERS AVE chicago IL 60623,1151094.27420764,1887562.58452864,41.847358988292875,-87.72097526061681,"41.847358988292875,-87.72097526061681"
11-03691957,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,3542,W,DOUGLAS,BLVD,60623,3542 W DOUGLAS BLVD chicago IL 60623,1152895.76991121,1893060.55999228,41.8624106383368,-87.71421822726191,"41.8624106383368,-87.71421822726191"
11-03692610,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,9300,S,JEFFERY,AVE,60617,9300 S JEFFERY AVE chicago IL 60617,1191135.16151784,1843698.59850717,41.72611567183253,-87.5754459146464,"41.72611567183253,-87.5754459146464"
11-03692982,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,2330,S,DRAKE,AVE,60623,2330 S DRAKE AVE chicago IL 60623,1153068.81190388,1888288.2557657,41.84931145295201,-87.71370942924368,"41.84931145295201,-87.71370942924368"
11-03693138,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,3415,N,LAVERGNE,AVE,60641,3415 N LAVERGNE AVE chicago IL 60641,1142429.41999327,1922313.82648082,41.94288561344078,-87.75191143242081,"41.94288561344078,-87.75191143242081"
11-03693340,08/30/2011,Front,,2,Open,1,REAR DOOR,Vacant,1,,0,1,1,12110,S,BISHOP,ST,60643,12110 S BISHOP ST chicago IL 60643,1168854.51428384,1824394.43570967,41.673651272587335,-87.65761614139366,"41.673651272587335,-87.65761614139366"
11-03693365,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,7223,S,ABERDEEN,ST,60621,7223 S ABERDEEN ST chicago IL 60621,1170232.3999907,1856910.60752165,41.762850733243006,-87.65163058816582,"41.762850733243006,-87.65163058816582"
11-03693790,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,1430,N,CENTRAL,AVE,60651,1430 N CENTRAL AVE chicago IL 60651,1138738.10209858,1908959.02521263,41.906306480682076,-87.76580387402203,"41.906306480682076,-87.76580387402203"
11-03693974,08/30/2011,Front,,2,Open,1,FRONT AND REAR,Vacant,1,,0,1,1,1643,W,GARFIELD,BLVD,60636,1643 W GARFIELD BLVD chicago IL 60636,1166231.45993178,1868101.254104,41.79364537562117,-87.66597642218245,"41.79364537562117,-87.66597642218245"
11-03694092,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,6956,S,DORCHESTER,AVE,60637,6956 S DORCHESTER AVE chicago IL 60637,1186741.21493286,1859076.86999142,41.76842020097522,-87.59105510202549,"41.76842020097522,-87.59105510202549"
11-03694385,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,3236,N,ORIOLE,AVE,60634,3236 N ORIOLE AVE chicago IL 60634,1124856.21409868,1920621.19077563,41.93854972998251,-87.81654027589043,"41.93854972998251,-87.81654027589043"
