request_number,date_received,location_on_lot,dangerous_or_hazardous,dangerous,open_or_boarded,open,entry_point,vacant_or_occupied,vacant_flag,vacant_due_to_fire,fire_flag,people_using_property,in_use_flag,address_street_num,address_street_dir,address_street_name,address_street_suffix,zip_code,full_address,x_coordinate,y_coordinate,latitude,longitude,location,the_geom,area_number,community_area,neigh_number,neighborhood
11-00324590,2011-02-25 00:00:00,,,2,,2,,,2,,0,,0,2101,E,79TH,ST,60649,2101 E 79TH ST chicago IL 60649,1191583.16281585,1853003.4510322,41.7516382059714,-87.5735039465847,"41.75163820597138,-87.5735039465847",01010000204FE58A00AF4CAE299F2E3241A4D876734B463C41,43,SOUTH SHORE,188,South Shore
11-00331228,2011-02-28 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,7854,S,COLES,AVE,60649,7854 S COLES AVE chicago IL 60649,1197556.11251479,1853647.34199924,41.7532582547581,-87.5515949269084,"41.75325825475809,-87.55159492690844",01010000204FE58A00EFC4CD1CF44532411F438D57CF483C41,43,SOUTH SHORE,188,South Shore
11-00438167,2011-03-17 00:00:00,,,2,,2,,,2,,0,,0,7834,S,MARQUETTE,AVE,60649,7834 S MARQUETTE AVE chicago IL 60649,1195681.30709959,1853545.35620864,41.7530249384524,-87.5584685960832,"41.75302493845244,-87.55846859608317",01010000204FE58A0028149E4EA13E32414B7D305B69483C41,43,SOUTH SHORE,188,South Shore
11-00458514,2011-03-22 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2901,E,79TH,ST,60649,2901 E 79TH ST chicago IL 60649,1196894.49397156,1853144.72869465,41.7518955183546,-87.5540361372211,"41.75189551835456,-87.55403613722112",01010000204FE58A008FEB747E5E4332418BBB8BBAD8463C41,43,SOUTH SHORE,188,South Shore
11-00615532,2011-04-04 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,2720,E,78TH,ST,60649,2720 E 78TH ST chicago IL 60649,1195756.50709959,1853774.05620864,41.7536506495448,-87.5581854725159,"41.7536506495448,-87.5581854725159",01010000204FE58A005B47D181EC3E32417FB0630E4E493C41,43,SOUTH SHORE,188,South Shore
11-00902969,2011-04-17 00:00:00,Rear,,2,Open,1,REAR WINDOWS,Vacant,1,,0,1,1,7828,S,MARQUETTE,AVE,60649,7828 S MARQUETTE AVE chicago IL 60649,1195680.30709959,1853585.35620864,41.7531347261767,-87.5584709404427,"41.75313472617672,-87.55847094044275",01010000204FE58A0028149E4EA03E32414B7D305B91483C41,43,SOUTH SHORE,188,South Shore
11-01159307,2011-04-26 00:00:00,Front,,2,Open,1,"FRONT WINDOW OUT,AND ALL REAR WINDOWS OUT/CALLER ALSO REPORTS THAT THE REAR SECURITY DOOR IS OPEN",Vacant,1,,0,1,1,7830,S,ESCANABA,AVE,60649,7830 S ESCANABA AVE chicago IL 60649,1196882.04057169,1853542.06051614,41.7529861352787,-87.5540685844846,"41.75298613527866,-87.55406858448461",01010000204FE58A0002E8620A524332415AFC7D0F66483C41,43,SOUTH SHORE,188,South Shore
11-01366831,2011-05-03 00:00:00,Front,,2,Open,1,WINDOW,Vacant,1,,0,1,1,2110,E,79TH,ST,60649,2110 E 79TH ST chicago IL 60649,1191679.66281585,1853005.9510322,41.7516427270458,-87.5731502448451,"41.751642727045756,-87.57315024484505",01010000204FE58A00AF4CAEA9FF2E3241A4D876F34D463C41,43,SOUTH SHORE,188,South Shore
11-01405902,2011-05-04 00:00:00,Rear,,2,Open,1,,Vacant,1,,0,,0,1856,E,79TH,ST,60649,1856 E 79TH ST chicago IL 60649,1190026.18999323,1852963.41927888,41.7515659455326,-87.5792107093287,"41.75156594553262,-87.57921070932868",01010000204FE58A007565A3308A28324156DC556B23463C41,43,SOUTH SHORE,188,South Shore
11-01435103,2011-05-05 00:00:00,,,2,Open,1,FRONT/REAR,Vacant,1,,0,,0,7837,S,ESSEX,AVE,,7837 S ESSEX AVE chicago IL,1194219.13766608,1853486.66172378,41.7528998877657,-87.5638286890655,"41.7528998877657,-87.56382868906546",01010000204FE58A008F153E23EB383241CABA66A92E483C41,43,SOUTH SHORE,188,South Shore
11-01459367,2011-05-06 00:00:00,,,2,,2,,,2,,0,,0,7870,S,EXCHANGE,AVE,60649,7870 S EXCHANGE AVE chicago IL 60649,1197182.49612778,1853288.18356836,41.7522820056975,-87.5529759963486,"41.75228200569752,-87.55297599634864",01010000204FE58A00EE3A027F7E4432410756FE2E68473C41,43,SOUTH SHORE,188,South Shore
11-01583952,2011-05-10 00:00:00,Front,,2,Open,1,REAR  DOOR WIDE OPEN,Vacant,1,,0,1,1,7837,S,ESSEX,AVE,60649,7837 S ESSEX AVE chicago IL 60649,1194219.13766608,1853486.66172378,41.7528998877657,-87.5638286890655,"41.7528998877657,-87.56382868906546",01010000204FE58A008F153E23EB383241CABA66A92E483C41,43,SOUTH SHORE,188,South Shore
11-01764519,2011-05-15 00:00:00,Rear,,2,Open,1,,Vacant,1,1,1,,0,7823,S,CLYDE,AVE,60649,7823 S CLYDE AVE chicago IL 60649,1191560.04067711,1853511.52036799,41.7530329518905,-87.5735722357572,"41.75303295189051,-87.57357223575724",01010000204FE58A00A9D0690A882E32412BD6368547483C41,43,SOUTH SHORE,188,South Shore
11-02711943,2011-06-09 00:00:00,Rear,,2,Boarded,0,,Vacant,1,,0,1,1,7848,S,LUELLA,AVE,60649,7848 S LUELLA AVE chicago IL 60649,1192563.43538798,1853307.76122101,41.7524494462105,-87.5699018798196,"41.75244944621052,-87.56990187981964",01010000204FE58A002F96756F733232414F61DFC27B473C41,43,SOUTH SHORE,188,South Shore
11-03192644,2011-06-21 00:00:00,,,2,,2,,,2,,0,,0,2218,E,79TH,ST,60649,2218 E 79TH ST chicago IL 60649,1192430.51852727,1853025.20780134,41.7516773314719,-87.5703981363621,"41.75167733147187,-87.57039813636207",01010000204FE58A000334BE84EE313241F777323561463C41,43,SOUTH SHORE,188,South Shore
11-03242008,2011-06-24 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,7819,S,CLYDE,AVE,60649,7819 S CLYDE AVE chicago IL 60649,1191559.34067711,1853538.32036799,41.7531065103303,-87.5735739336628,"41.75310651033032,-87.57357393366276",01010000204FE58A00769D3657872E3241F8A2035262483C41,43,SOUTH SHORE,188,South Shore
11-03409182,2011-07-19 00:00:00,,,2,,2,,,2,,0,,0,2653,E,78TH,ST,60649,2653 E 78TH ST chicago IL 60649,1195363.33576905,1853763.55979841,41.753631558198,-87.5596266209721,"41.753631558198,-87.55962662097207",01010000204FE58A00E1F5F455633D3241D7F24E8F43493C41,43,SOUTH SHORE,188,South Shore
11-03575540,2011-08-11 00:00:00,Front,,2,Boarded,0,,Vacant,1,,0,,0,7831,S,COLFAX,AVE,60649,7831 S COLFAX AVE chicago IL 60649,1194878.73839616,1853544.02979832,41.7530410959842,-87.5614096785712,"41.75304109598419,-87.56140967857122",01010000204FE58A00DF8707BD7E3B3241DADCA00768483C41,43,SOUTH SHORE,188,South Shore
11-03731604,2011-09-06 00:00:00,Front,,2,Open,1,FRONT AND SIDE OF THE BUILDING,Vacant,1,,0,1,1,1852,E,79TH,ST,60649,1852 E 79TH ST chicago IL 60649,1190006.18999323,1852962.91927888,41.7515650545068,-87.5792840146906,"41.751565054506784,-87.57928401469057",01010000204FE58A007565A3307628324156DC55EB22463C41,43,SOUTH SHORE,188,South Shore
11-03742763,2011-09-07 00:00:00,Front,,2,Open,1,STORE FRONT OPEN,Vacant,1,,0,,0,1850,E,79TH,ST,60649,1850 E 79TH ST chicago IL 60649,1189996.28999323,1852962.61927888,41.751564469367,-87.5793203025302,"41.75156446936699,-87.57932030253025",01010000204FE58A000FFF3C4A6C283241890F899E22463C41,43,SOUTH SHORE,188,South Shore
